Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2021-01-27T16:56:37.861225Z,AAPL,BUY - MARKET,70.28888732,$142.27 ,"$10,000 ",USD,1.2103
2021-01-27T18:50:55.795388Z,AMC,SELL - MARKET,456.7131547,$16.60 ,"$7,581.22 ",USD,1.212
2021-01-27T18:56:26.167544Z,,CASH TOP-UP,,,"$1,800 ",USD,1.2118
2021-01-27T19:00:43.552190Z,XPEV,BUY - MARKET,194.7798987,$51.34 ,"$10,000 ",USD,1.2128
2021-01-27T19:00:55.594960Z,XPEV,BUY - MARKET,25.33125487,$51.32 ,"$1,300 ",USD,1.2129
2021-01-28T16:17:26.672073Z,,CASH TOP-UP,,,"$10,000 ",USD,1.2127
2021-01-28T16:20:50.372015Z,AAPL,BUY - MARKET,71.83908045,$139.20 ,"$10,000 ",USD,1.2129
2021-01-29T10:05:58.920974Z,,CASH TOP-UP,,,"$5,000 ",USD,1.211
2021-01-29T15:28:00.010246Z,XPEV,BUY - MARKET,100.1403966,$49.93 ,"$5,000 ",USD,1.2146
2021-02-01T03:31:35.737260Z,,CUSTODY FEE,,,($1.05),USD,1.2132
2021-02-12T06:07:58.201910Z,AAPL,DIVIDEND,,,$24.77 ,USD,1.213
2021-03-01T00:41:38.472763Z,,CUSTODY FEE,,,($0.86),USD,1.2103
2021-04-01T01:17:15.622861Z,,CUSTODY FEE,,,($9.73),USD,1.1732
2021-04-18T20:39:01.952870Z,,CASH TOP-UP,,,"$10,000 ",USD,1.2105
2021-04-18T20:46:37.163369Z,,CASH TOP-UP,,,"$10,000 ",USD,1.2105
2021-04-19T13:34:30.014951Z,XPEV,BUY - MARKET,319.4888179,$31.30 ,"$10,000 ",USD,1.203
2021-04-19T13:36:26.827032Z,NIO,BUY - MARKET,272.7768685,$36.66 ,"$10,000 ",USD,1.2029
2021-05-01T04:05:23.783388Z,,CUSTODY FEE,,,($11.03),USD,1.2142
2021-05-14T04:32:31.389460Z,AAPL,DIVIDEND,,,$26.58 ,USD,1.2091
2021-06-01T05:26:58.203787Z,,CUSTODY FEE,,,($11.33),USD,1.2225
2021-07-01T06:17:14.278476Z,,CUSTODY FEE,,,($15.47),USD,1.1843
2021-08-01T11:51:35.420860Z,,CUSTODY FEE,,,($14.11),USD,1.1999
2021-08-13T04:42:22.987023Z,AAPL,DIVIDEND,,,$26.58 ,USD,1.1742
2021-09-01T09:42:50.816249Z,,CUSTODY FEE,,,($13.51),USD,1.1818
2021-10-02T05:57:15.436013Z,,CUSTODY FEE,,,($11.96),USD,1.1597
2021-10-07T19:39:48.934550Z,VTLE,SELL - MARKET,30.92901235,$91.44 ,"$2,828.16 ",USD,1.1556
2021-10-07T19:40:36.604470Z,IIPR,BUY - MARKET,11.91201317,$236.74 ,"$2,827.05 ",USD,1.1557
2021-10-25T18:34:45.948206Z,XPEV,SELL - MARKET,707.320982,$48.13 ,"$34,046.04 ",USD,1.1619
2021-10-25T18:36:58.340949Z,IIPR,SELL - MARKET,11.91201317,$262.92 ,"$3,131.89 ",USD,1.1618
2021-10-26T19:58:15.192924Z,XPEV,BUY - MARKET,220.6535746,$45.32 ,"$10,000 ",USD,1.1603
2021-10-26T19:58:33.964521Z,XPEV,BUY - MARKET,220.6048974,$45.33 ,"$10,000 ",USD,1.1603
2021-10-26T19:58:46.220847Z,XPEV,BUY - MARKET,220.726109,$45.31 ,"$10,000 ",USD,1.1602
2021-10-26T19:59:09.745640Z,XPEV,BUY - MARKET,157.8750276,$45.29 ,"$7,150 ",USD,1.1602
2021-10-28T13:33:26.239272Z,XPEV,SELL - MARKET,819.8596086,$47.80 ,"$39,188.99 ",USD,1.1633
2021-10-28T13:34:08.085617Z,AAPL,SELL - MARKET,142.1279678,$150.55 ,"$21,397.38 ",USD,1.1635
2021-10-29T14:16:23.457479Z,XPEV,BUY - MARKET,215.5682259,$46.39 ,"$10,000 ",USD,1.1606
2021-10-29T14:18:01.099630Z,META,BUY - MARKET,30.9311166,$323.30 ,"$10,000 ",USD,1.1604
2021-10-29T14:18:57.168670Z,NVDA,BUY - MARKET,39.41352672,$253.72 ,"$10,000 ",USD,1.1601
2021-10-29T14:20:30.617650Z,COIN,BUY - MARKET,31.3667388,$318.81 ,"$10,000 ",USD,1.1603
2021-10-29T14:22:15.743189Z,SBUX,BUY - MARKET,95.22988286,$105.01 ,"$10,000 ",USD,1.1605
2021-10-29T14:24:08.682709Z,AMZN,BUY - MARKET,3.01330978,"$3,318.61 ","$10,000 ",USD,1.1603
2021-10-29T14:24:50.491801Z,ATVI,BUY - MARKET,7.59506329,$79 ,$600 ,USD,1.1604
2021-11-03T03:23:32.417736Z,,CUSTODY FEE,,,($14.68),USD,1.1586
2021-11-04T14:17:06.739341Z,NVDA,SELL - MARKET,39.41352672,$284.70 ,"$11,221 ",USD,1.1552
2021-11-04T14:23:31.114243Z,XPEV,SELL - MARKET,215.5682259,$48.10 ,"$10,368.97 ",USD,1.1552
2021-11-04T15:00:48.440949Z,COIN,SELL - MARKET,31.3667388,$341.12 ,"$10,699.79 ",USD,1.1546
2021-11-04T15:01:05.368397Z,SBUX,SELL - MARKET,95.22988286,$111.94 ,"$10,660.07 ",USD,1.1545
